Databases, "The Crystal Ball Instruction Manual - version 1.1 Volume One: Introduction to Data Science", "CC BY-SA", "['PDF', 'Hardcopy']"
Databases, "The Discipline of Organizing: 4th Professional Edition", "CC BY-NC", "['PDF', 'eBook', 'Online']"
Databases, "Relational Databases and Microsoft Access", "CC BY-NC-SA", "['PDF']"
Databases, "Database Design - 2nd Edition", "CC BY", "['PDF', 'Online', 'eBook']"
Information-Systems, "Technology in Schools", "CC BY-NC", "['MS Word', 'PDF']"
Information-Systems, "Building Information - Representation and Management: Principles and Foundations for the Digital Era", "CC BY-NC-SA", "['eBook', 'PDF', 'Online', 'Hardcopy']"
Information-Systems, "Inventory Analytics", "CC BY", "['PDF', 'Hardcopy']"
Information-Systems, "A Person-Centered Guide to Demystifying Technology: Working together to observe, question, design, prototype, and implement/reject technology in support of people's valued beings and doings", "CC BY-SA", "['Online', 'PDF']"
Information-Systems, "Unmanned Aircraft Systems in the Cyber Domain - Second Edition", "CC BY-NC-SA", "['Online', 'PDF']"
Information-Systems, "A Tale of Two Systems", "CC BY-NC-SA", "['Online', 'PDF', 'eBook']"
Information-Systems, "Nature of Geographic Information Systems", "CC BY-NC-SA", "['Online', 'PDF', 'eBook']"
Information-Systems, "Information Systems for Business and Beyond", "CC BY-NC", "['PDF', 'eBook', 'Online', 'MS Word', 'XML']"
Information-Systems, "Essentials of Geographic Information Systems", "CC BY-NC-SA", "['PDF', 'Online']"
Information-Systems, "Business Information Systems: Design an App for That", "CC BY-NC-SA", "['PDF', 'Online']"
Programming-Languages, "Mathematical Modeling and Simulation with MATLAB", "CC BY-SA", "['PDF']"
Programming-Languages, "Patterns for Beginning Programmers", "CC BY", "['PDF', 'eBook', 'Online']"
Programming-Languages, "Think Raku: How to Think Like a Computer Scientist - 2nd edition", "CC BY-NC-SA", "['PDF', 'Hardcopy', 'LaTeX']"
Programming-Languages, "Introduction to Programming using Fortran 95/2003/2008", "CC BY-NC-SA", "['PDF']"
Programming-Languages, "MIPS Assembly Language Programming using QtSpim", "CC BY-NC-SA", "['PDF']"
Programming-Languages, "x86-64 Assembly Language Programming with Ubuntu", "CC BY-NC-SA", "['PDF']"
Programming-Languages, "How to Think Like a Computer Scientist: C Version", "CC BY-NC", "['PDF']"
Programming-Languages, "How to Think Like a Computer Scientist: C++ Version", "CC BY-NC", "['PDF', 'LaTeX']"
Programming-Languages, "A Byte of Python", "CC BY-SA", "['Online', 'PDF', 'eBook']"
Programming-Languages, "Aprendiendo a Programar en Python con mi Computador: Primeros pasos rumbo a cómputos de gran escala en las Ciencias e Ingenierías", "CC BY-NC-SA", "['PDF']"
Programming-Languages, "Introduction to MIPS Assembly Language Programming", "CC BY", "['PDF']"
Programming-Languages, "Eloquent JavaScript: A Modern Introduction to Programming", "CC BY-NC", "['PDF', 'eBook', 'Online', 'Hardcopy']"
Programming-Languages, "Java with BlueJ", "CC BY-NC-SA", "['PDF']"
Programming-Languages, "Java with BlueJ Part 2", "CC BY-NC-SA", "['PDF']"
Programming-Languages, "Introduction to Programming Using Java - Eighth Edition", "CC BY-NC-SA", "['PDF', 'eBook', 'Online', 'Hardcopy']"
Programming-Languages, "Python for Everybody: Exploring Data Using Python 3", "CC BY-NC-SA", "['PDF', 'Hardcopy', 'eBook']"
Programming-Languages, "Think Java: How To Think Like a Computer Scientist - 2e", "CC BY-NC-SA", "['PDF', 'Online', 'Hardcopy', 'LaTeX']"
Programming-Languages, "Java, Java, Java: Object-Oriented Problem Solving", "CC BY", "['PDF', 'LaTeX']"
Programming-Languages, "Programming Fundamentals - A Modular Structured Approach using C++", "CC BY", "['PDF', 'Online']"
Programming-Languages, "How to Think Like a Computer Scientist: Learning with Python", "CC BY", "['Online', 'PDF', 'Hardcopy']"
Programming-Languages, "Think Python: How to Think Like a Computer Scientist - 2e", "CC BY-NC", "['Online', 'PDF', 'Hardcopy', 'LaTeX']"
